# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Apr  3 06:03:27 2018
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
#
loc_rowid,pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,st_dist,st_teff,st_mass
1,11 Com,Radial Velocity,1,326.03000000,1.290000,110.62,4742.00,2.70
2,11 UMi,Radial Velocity,1,516.22000000,1.540000,119.47,4340.00,1.80
3,14 And,Radial Velocity,1,185.84000000,0.830000,76.39,4813.00,2.20
4,14 Her,Radial Velocity,1,1773.40000000,2.770000,18.15,5311.00,0.90
5,16 Cyg B,Radial Velocity,1,798.50000000,1.681000,21.41,5674.00,0.99
6,18 Del,Radial Velocity,1,993.30000000,2.600000,73.10,4979.00,2.30
7,1RXS J160929.1-210524,Imaging,1,,330.000000,145.00,4060.00,0.85
8,24 Sex,Radial Velocity,2,452.80000000,1.333000,74.79,5098.00,1.54
9,24 Sex,Radial Velocity,2,883.00000000,2.080000,74.79,5098.00,1.54
10,2MASS J01225093-2439505,Imaging,1,,52.000000,36.00,3530.00,0.40
11,2MASS J02192210-3925225,Imaging,1,,156.000000,39.40,3064.00,0.11
12,2MASS J04414489+2301513,Imaging,1,,15.000000,140.00,,0.02
13,2MASS J12073346-3932539,Imaging,1,,46.000000,52.40,,0.02
14,2MASS J19383260+4603591,Eclipse Timing Variations,1,416.00000000,0.920000,,,0.48
15,2MASS J21402931+1625183 A,Imaging,1,7336.50000000,,25.00,2300.00,0.08
16,2MASS J22362452+4751425,Imaging,1,,230.000000,74.00,4045.00,0.60
17,30 Ari B,Radial Velocity,1,335.10000000,0.995000,39.43,6300.00,1.16
18,4 UMa,Radial Velocity,1,269.30000000,0.870000,77.40,4415.00,1.23
19,42 Dra,Radial Velocity,1,479.10000000,1.190000,97.28,4200.00,0.98
